model,turn_progress_bin,brier_mean,brier_std,log_loss_mean,log_loss_std,n_samples
naive,0.0-0.1,0.10940971079236565,3.642320607526263e-06,0.37691948782724827,1.1279386627747697e-05,162603
naive,0.1-0.2,0.10940858898793207,2.5638881488746216e-06,0.376916609856889,8.845842630509924e-06,160749
naive,0.2-0.3,0.10948067481624879,6.543269068404492e-05,0.37710158270623045,0.000165962269172023,161407
naive,0.3-0.4,0.10975932832557223,0.00021928798692113133,0.37781657104575384,0.000560791239455509,160642
naive,0.4-0.5,0.11040820068443732,0.00030818121347816026,0.37948141705144783,0.0007886054201432839,159542
naive,0.5-0.6,0.111748600584654,0.00032379343251618444,0.382920415942508,0.0008295840926384956,159110
naive,0.6-0.7,0.1137971185076438,0.0005968619140969428,0.3881762823926117,0.0015311838397524841,154567
naive,0.7-0.8,0.11696132988989387,0.0008386415044975075,0.3962946785591702,0.0021528829179810176,149289
naive,0.8-0.9,0.12085377998513347,0.0008960339158053094,0.4062814212049458,0.002302636149851656,144273
naive,0.9-1.0,0.12676224522478582,0.0016574470993616956,0.4214406075150955,0.004257804978000769,134884
baseline,0.0-0.1,0.21910323139986648,0.0014832505307891162,0.6301473753329839,0.0030246285590611595,162603
baseline,0.1-0.2,0.20944438222456602,0.0038557813733642128,0.6100859370580999,0.007704656638497324,160749
baseline,0.2-0.3,0.18624304625459462,0.005123582424706586,0.5542921801977302,0.011407371215231063,161407
baseline,0.3-0.4,0.17493021178647195,0.0038449009641143873,0.522799105070906,0.0084801650775471,160642
baseline,0.4-0.5,0.17603325776805592,0.005189412576423049,0.5218552733398073,0.012013149514652242,159542
baseline,0.5-0.6,0.17670359722313556,0.005964231445340038,0.5247678662229284,0.015127377369138268,159110
baseline,0.6-0.7,0.1566996497765865,0.006608266111379614,0.4738963606173974,0.017973438558880592,154567
baseline,0.7-0.8,0.13831173746969885,0.005129786389907268,0.42409637903502506,0.015745260181046324,149289
baseline,0.8-0.9,0.12554759928708448,0.0040543090722822694,0.3928489626012293,0.015735683709259287,144273
baseline,0.9-1.0,0.11299016456885269,0.0038702663035428656,0.3676025757385758,0.018391419720939294,134884
xgboost,0.0-0.1,0.23055384284177033,0.002006613686573992,0.65317297699891,0.004156042601728649,162603
xgboost,0.1-0.2,0.21204254821750995,0.005055877329057707,0.612085662210277,0.010568699028306709,160749
xgboost,0.2-0.3,0.1948230558843184,0.005587318644966219,0.5687901914928946,0.012013780624105002,161407
xgboost,0.3-0.4,0.18109063933778477,0.003582499951642709,0.5319757090431207,0.008576535811255052,160642
xgboost,0.4-0.5,0.16167916063860535,0.005348022884699555,0.4784150083610566,0.01370967653930448,159542
xgboost,0.5-0.6,0.14673983850594494,0.0069526867214876505,0.4370306751134584,0.017980144968623078,159110
xgboost,0.6-0.7,0.13542968245677547,0.005884862643291194,0.4047266034258762,0.014637937992788994,154567
